game_date,game_time_et,away_team,home_team,away_team_full_name,home_team_full_name,game_number_this_day,game_number_this_day_and_time,away_team_espn_abbr,home_team_espn_abbr
2018-10-16,8:00 PM,PHI,BOS,Philadelphia 76ers,Boston Celtics,1,1,PHI,BOS
2018-10-16,10:30 PM,OKC,GSW,Oklahoma City Thunder,Golden State Warriors,2,1,OKC,GSW
2018-10-17,7:00 PM,BKN,DET,Brooklyn Nets,Detroit Pistons,1,1,BKN,DET
2018-10-17,7:00 PM,MEM,IND,Memphis Grizzlies,Indiana Pacers,2,2,MEM,IND
2018-10-17,7:00 PM,MIA,ORL,Miami Heat,Orlando Magic,3,3,MIA,ORL
2018-10-17,7:00 PM,MIL,CHA,Milwaukee Bucks,Charlotte Hornets,4,4,MIL,CHA
2018-10-17,7:30 PM,ATL,NYK,Atlanta Hawks,New York Knicks,5,1,ATL,NYK
2018-10-17,7:30 PM,CLE,TOR,Cleveland Cavaliers,Toronto Raptors,6,2,CLE,TOR
2018-10-17,8:00 PM,NOP,HOU,New Orleans Pelicans,Houston Rockets,7,1,NO,HOU
2018-10-17,8:30 PM,MIN,SAS,Minnesota Timberwolves,San Antonio Spurs,8,1,MIN,SAS
2018-10-17,10:00 PM,UTA,SAC,Utah Jazz,Sacramento Kings,9,1,UTH,SAC
2018-10-17,10:30 PM,DAL,PHX,Dallas Mavericks,Phoenix Suns,10,1,DAL,PHX
2018-10-17,10:30 PM,DEN,LAC,Denver Nuggets,LA Clippers,11,2,DEN,LAC
2018-10-18,8:00 PM,CHI,PHI,Chicago Bulls,Philadelphia 76ers,1,1,CHI,PHI
2018-10-18,8:00 PM,MIA,WAS,Miami Heat,Washington Wizards,2,2,MIA,WAS
2018-10-18,10:30 PM,LAL,POR,Los Angeles Lakers,Portland Trail Blazers,3,1,LAL,POR
2018-10-19,7:00 PM,CHA,ORL,Charlotte Hornets,Orlando Magic,1,1,CHA,ORL
2018-10-19,7:30 PM,NYK,BKN,New York Knicks,Brooklyn Nets,2,1,NYK,BKN
2018-10-19,8:00 PM,ATL,MEM,Atlanta Hawks,Memphis Grizzlies,3,1,ATL,MEM
2018-10-19,8:00 PM,BOS,TOR,Boston Celtics,Toronto Raptors,4,2,BOS,TOR
2018-10-19,8:00 PM,CLE,MIN,Cleveland Cavaliers,Minnesota Timberwolves,5,3,CLE,MIN
2018-10-19,8:00 PM,SAC,NOP,Sacramento Kings,New Orleans Pelicans,6,4,SAC,NO
2018-10-19,8:30 PM,IND,MIL,Indiana Pacers,Milwaukee Bucks,7,1,IND,MIL
2018-10-19,10:30 PM,GSW,UTA,Golden State Warriors,Utah Jazz,8,1,GSW,UTH
2018-10-19,10:30 PM,OKC,LAC,Oklahoma City Thunder,LA Clippers,9,2,OKC,LAC
2018-10-20,7:00 PM,BKN,IND,Brooklyn Nets,Indiana Pacers,1,1,BKN,IND
2018-10-20,7:00 PM,TOR,WAS,Toronto Raptors,Washington Wizards,2,2,TOR,WAS
2018-10-20,7:30 PM,BOS,NYK,Boston Celtics,New York Knicks,3,1,BOS,NYK
2018-10-20,7:30 PM,ORL,PHI,Orlando Magic,Philadelphia 76ers,4,2,ORL,PHI
2018-10-20,8:00 PM,CHA,MIA,Charlotte Hornets,Miami Heat,5,1,CHA,MIA
2018-10-20,8:00 PM,DET,CHI,Detroit Pistons,Chicago Bulls,6,2,DET,CHI
2018-10-20,8:30 PM,MIN,DAL,Minnesota Timberwolves,Dallas Mavericks,7,1,MIN,DAL
2018-10-20,9:00 PM,PHX,DEN,Phoenix Suns,Denver Nuggets,8,1,PHX,DEN
2018-10-20,10:00 PM,SAS,POR,San Antonio Spurs,Portland Trail Blazers,9,1,SAS,POR
2018-10-20,10:30 PM,HOU,LAL,Houston Rockets,Los Angeles Lakers,10,1,HOU,LAL
2018-10-21,6:00 PM,ATL,CLE,Atlanta Hawks,Cleveland Cavaliers,1,1,ATL,CLE
2018-10-21,7:00 PM,SAC,OKC,Sacramento Kings,Oklahoma City Thunder,2,1,SAC,OKC
2018-10-21,8:00 PM,GSW,DEN,Golden State Warriors,Denver Nuggets,3,1,GSW,DEN
2018-10-21,9:00 PM,HOU,LAC,Houston Rockets,LA Clippers,4,1,HOU,LAC
2018-10-22,7:30 PM,CHA,TOR,Charlotte Hornets,Toronto Raptors,1,1,CHA,TOR
2018-10-22,7:30 PM,ORL,BOS,Orlando Magic,Boston Celtics,2,2,ORL,BOS
2018-10-22,8:00 PM,IND,MIN,Indiana Pacers,Minnesota Timberwolves,3,1,IND,MIN
2018-10-22,8:00 PM,NYK,MIL,New York Knicks,Milwaukee Bucks,4,2,NYK,MIL
2018-10-22,8:30 PM,CHI,DAL,Chicago Bulls,Dallas Mavericks,5,1,CHI,DAL
